Model,Accuracy,Precision,Recall,F1,ROC-AUC
Logistic Regression,0.8524590163934426,0.8064516129032258,0.8928571428571429,0.847457627118644,0.9696969696969696
Random Forest,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9512987012987013
XGBoost,0.8852459016393442,0.8387096774193549,0.9285714285714286,0.8813559322033898,0.9296536796536796
